name,latitude,longitude
EUROPEAN UNION OF JEWISH STUDENTS,50.8427501,4.3515499
EUROPEAN UNION OF JUDGES IN COMMERCIAL MATTERS,48.59021569999999,7.745927699999999
EUROPEAN UNION OF RECHTSPFLEGER/COURT CLERKS,48.5789133,7.7540132
EUROPEAN UNION OF THE DEAF,50.8456414,4.3693762
EUROPEAN UNION OF WOMEN,38.7039718,0.1584124
EUROPEAN VOLUNTEER CENTRE,50.8416078,4.3706928
EUROPEAN WOMEN'S LOBBY,50.8481237,4.3717589
EUROPEAN YOUTH FORUM,50.841755,4.369373
FEDERATION OF CATHOLIC FAMILY ASSOCIATIONS IN EUROPE,50.8390832,4.3698305
FOUNDATION FOR EUROPEAN LANGUAGES AND EDUCATIONAL CENTRES,47.3514843,8.5322851
FORUM OF EUROPEAN MUSLIM YOUTH AND STUDENT ORGANISATIONS,50.8454928,4.383554
FOUNDATION FOR THE ECONOMY AND SUSTAINABLE DEVELOPMENT OF THE REGIONS OF EUROPE,46.2025738,6.1391513
FRIEDRICH EBERT FOUNDATION,50.7022126,7.1347877
HELSINKI CITIZENS ASSEMBLY,40.3638881,49.8309308
INCLUSION EUROPE,50.8486117,4.3696831
INITIATIVES OF CHANGE-INTERNATIONAL,46.21413949999999,6.1111637
INTEREUROPEAN COMMISSION ON CHURCH AND SCHOOL,45.6173949,-0.5825475
INTERNATIONAL ALLIANCE OF WOMEN,52.0906015,5.2332526
INTERNATIONAL ASSOCIATION FOR THE DEFENCE OF RELIGIOUS LIBERTY,46.9462949,7.463470699999999
INTERNATIONAL ASSOCIATION OF CHARITIES,50.668143,4.616429699999999
INTERNATIONAL ASSOCIATION OF JUDGES,41.90365730000001,12.4709525
INTERNATIONAL ASSOCIATION OF LAWYERS,48.8737287,2.3408567
INTERNATIONAL ASSOCIATION OF REFUGEE AND MIGRATION JUDGES,52.3873878,4.6462194
INTERNATIONAL ASSOCIATION OF YOUTH AND FAMILY JUDGES AND MAGISTRATES,"",""
INTERNATIONAL ASSOCIATION OF SOCIAL EDUCATORS,55.6775115,12.5746082
INTERNATIONAL ASSOCIATION RURALITY-ENVIRONMENT-DEVELOPMENT,49.7511407,5.7843789
INTERNATIONAL CATHOLIC CHILD BUREAU,46.2156524,6.148517699999999
INTERNATIONAL CATHOLIC MIGRATION COMMISSION,46.22112930000001,6.1397034
INTERNATIONAL CHAMBER OF COMMERCE,"",""
INTERNATIONAL CATHOLIC SOCIETY FOR GIRLS,46.2009927,6.1384975
INTERNATIONAL COMMISSION OF JURISTS,"",""
INTERNATIONAL CONFEDERATION OF PROFESSIONAL AND INTELLECTUAL WORKERS,48.8341761,2.355968
INTERNATIONAL COUNCIL B'NAI B'RITH,50.826898,4.367968299999999
INTERNATIONAL COUNCIL OF JEWISH WOMEN,51.63911179999999,-0.1105629
INTERNATIONAL COUNCIL ON SOCIAL WELFARE EUROPE,52.0743648,5.0957849
INTERNATIONAL DIABETES FEDERATION - EUROPEAN REGION,50.7964037,4.405071
INTERNATIONAL FEDERATION FOR HUMAN RIGHTS,48.852747,2.3783086
INTERNATIONAL FEDERATION FOR HOUSING AND PLANNING,55.67213630000001,12.5786777
INTERNATIONAL FEDERATION FOR PARENTS EDUCATION,48.8241479,2.217318300000001
WORLD VISION INTERNATIONAL (MIDDLE EAST AND EASTERN EUROPE REGIONAL OFFICE),"",""
AGE PLATFORM EUROPE,"",""
INTERNATIONAL OFFICE FOR CATHOLIC EDUCATION,41.9027835,12.4963655
INTERNATIONAL FEDERATION FOR THERAPY AND ASSISTANCE THROUGH MEDIATION,48.7915192,7.381125000000001
INTERNATIONAL FEDERATION OF ACTORS,51.5127676,-0.1273975
INTERNATIONAL FEDERATION OF ASSOCIATIONS OF THE ELDERLY,48.8445976,2.3842021
INTERNATIONAL FEDERATION OF CATHOLIC UNIVERSITIES,48.8480625,2.330099300000001
INTERNATIONAL FEDERATION OF JOURNALISTS,50.842736,4.3804336
INTERNATIONAL FEDERATION OF MEDICAL STUDENTS' ASSOCIATIONS,"",""
INTERNATIONAL FEDERATION OF LIBERAL YOUTH,51.5062354,-0.1241075
INTERNATIONAL FEDERATION OF SOCIAL WORKERS,47.5547479,7.792151899999999
INTERNATIONAL FEDERATION OF TEACHERS OF FRENCH,48.8241479,2.217318300000001
INTERNATIONAL FEDERATION OF BUSINESS AND PROFESSIONAL WOMEN,46.2045664,6.128061100000001
INTERNATIONAL FEDERATION OF THE TRAINING CENTERS FOR THE PROMOTION OF PROGRESSIVE EDUCATION,48.8921777,2.3621875
INTERNATIONAL INSTITUTE FOR ETHNIC GROUP RIGHTS AND REGIONALISM,48.1511925,11.5689744
INTERNATIONAL INSTITUTE OF HUMANITARIAN LAW,43.8217311,7.789122600000001
INTERNATIONAL LEAGUE AGAINST RACISM AND ANTISEMITISM,48.8633025,2.3424557
INTERNATIONAL LA STRADA ASSOCIATION,52.3844661,4.9063691
INTERNATIONAL LEAGUE FOR CHILD AND ADULT EDUCATION,48.8521651,2.3276198
INTERNATIONAL MOVEMENT OF CATHOLIC AGRICULTURAL AND RURAL YOUTH,50.8546444,4.3881897
INTERNATIONAL MOVEMENT OF APOSTOLATE IN MIDDLE AND UPPER CLASSES,48.858691,2.2742359
INTERNATIONAL OFFICE OF ALLOTMENT AND LEISURE GARDEN SOCIETIES ASBL,49.6063628,6.114211699999999
VALIDITY FOUNDATION - MENTAL DISABILITY ADVOCACY CENTER,47.4928392,19.0554578
CHILD RIGHTS & YOU - CRY,"",""
INTERNATIONAL MOVEMENT ATD FOURTH WORLD,49.0198816,2.1512499
INTERNATIONAL PROFESSIONAL UNION OF GYNAECOLOGISTS AND OBSTETRICIANS,48.6312463,7.6729372
INTERNATIONAL PLANNED PARENTHOOD FEDERATION - EUROPEAN NETWORK,50.8493401,4.363953
INTERNATIONAL PRESS INSTITUTE,48.20797169999999,16.3703074
INTERNATIONAL SCIENTIFIC CONFERENCE MINORITIES FOR EUROPE OF TOMORROW,46.5523064,15.6448038
INTERNATIONAL SOCIETY OF CITY AND REGIONAL PLANNERS,52.0704978,4.3006999
INTERNATIONAL UNION OF EUROPEAN GUIDES AND SCOUTS,48.1389146,2.6972991
"INTERNATIONAL YOUNG CATHOLIC STUDENTS - INTERNATIONAL MOVEMENT OF CATHOLIC STUDENTS, EUROPEAN CO-ORDINATION",48.8258986,2.3401339
INTERNATIONAL UNION OF SOCIALIST YOUTH,48.1878731,16.3498659
KOLPING INTERNATIONAL,50.9396595,6.9537347
"LIONS CLUBS INTERNATIONAL, EUROPEAN DISTRICTS",41.8481349,-87.9281264
INTERNATIONAL UNION OF TENANTS,59.32932349999999,18.0685808
LIBERAL INTERNATIONAL,51.5062354,-0.1241075
MÉDECINS DU MONDE - INTERNATIONAL,48.89052849999999,2.3487295
MEMORIAL - INTERNATIONAL HISTORICAL AND EDUCATIONAL HUMAN RIGHTS AND CHARITY SOCIETY,55.769621,37.6177194
MARANGOPOULOS FOUNDATION FOR HUMAN RIGHTS,37.9791862,23.7368981
MIGRATORY BIRDS OF THE WESTERN PALEARCTIC,"",""
"EUROPEAN FORUM OF LESBIAN, GAY, BISEXUAL AND TRANSGENDER CHRISTIAN GROUPS",52.3665958,4.904018
EUROPEAN HUMANIST FEDERATION,50.8183187,4.3961116
FONDO VERDE,-12.0686357,-75.21029759999999
PAX CHRISTI - INTERNATIONAL CATHOLIC PEACE MOVEMENT,50.86629019999999,4.363011699999999
PLATFORM FOR INTERNATIONAL CO-OPERATION ON UNDOCUMENTED MIGRANTS,50.8493481,4.367044
QUAKER COUNCIL FOR EUROPEAN AFFAIRS,50.847476,4.3818375
REHABILITATION INTERNATIONAL,40.75282,-73.9662963
REPORTERS WITHOUT BORDERS,48.87097439999999,2.3408007
RIGHT TO DIE EUROPE,52.6598112,4.634412
ROTARY INTERNATIONAL,42.0459785,-87.6826912
RUSSIAN PEACE FOUNDATION,55.74407360000001,37.5992037
SERVICE CIVIL INTERNATIONAL,51.2077089,4.4213644
SIMON WIESENTHAL CENTRE - EUROPE,48.8706477,2.2981853
SOCIETY FOR THREATENED PEOPLES INTERNATIONAL,51.5332915,9.9279636
SOROPTIMIST INTERNATIONAL OF EUROPE,46.1924191,6.162451
EUROPEAN HUMAN RIGHTS ASSOCIATION,"",""
EUROPEAN MUSLIM INITIATIVE FOR SOCIAL COHESION,"",""
CENTER FOR INNOVATION IN SCIENCE AND SOCIAL ACTION,8.5241391,76.9366376
SPECIAL OLYMPICS,38.90472,-77.0428637
STICHTING BIRDLIFE EUROPE,50.8345861,4.3534234
TERRE DES HOMMES INTERNATIONAL FEDERATION,50.8398895,4.362476399999999
THE HOWARD LEAGUE FOR PENAL REFORM,51.54392259999999,-0.0826811
THE NATIONAL UNIONS OF STUDENTS IN EUROPE / EUROPEAN STUDENTS UNION,50.8520179,4.3665162
THE ROBERT SCHUMAN INSTITUTE FOR EUROPE,49.11071519999999,6.111584
TRANSGENDER EUROPE,52.48506,13.45525
OPEN SOCIETY EUROPEAN POLICY INSTITUTE,50.8394454,4.3681626
UNIVERSAL FORUM FOUNDATION / CRANS MONTANA,43.7344686,7.413615000000001
UNIVERSITY WOMEN OF EUROPE,52.3675734,4.9041389
VOLONTEUROPE,50.841755,4.369373
UNITED FOR INTERCULTURAL ACTION,52.3675734,4.9041389
UNISCAPE - EUROPEAN NETWORK OF UNIVERSITIES FOR LANDSCAPE STUDIES AND EDUCATION,43.7786585,11.2632778
WORLD ASSOCIATION OF CHILDREN'S FRIENDS,43.7407069,7.425307099999999
WORLD ASSOCIATION OF NEWSPAPERS AND NEW PUBLISHERS,"",""
WORLD ASSOCIATION OF WOMEN ENTEPRENEURS,48.8826323,2.2890593
WORLD CATHOLIC ASSOCIATION FOR COMMUNICATION,50.8572567,4.3675568
IFLA EUROPE,50.84103469999999,4.3371819
NETWORK OF EUROPEAN LGBTIQ* FAMILIES ASSOCIATIONS,50.8463824,4.3494415
WORLD FEDERATION OF MODERN LANGUAGE ASSOCIATIONS,51.5168455,-0.1428238
WORLD FEDERATION OF THE DEAF,60.2216079,24.9019456
WORLD ORGANISATION OF THE SCOUT MOVEMENT,50.8431965,4.3703487
"WORLD ORT (ORGANISATION FOR EDUCATIONAL, RESOURCES AND TECHNOLOGICAL TRAINING)",51.5374814,-0.1442851
WORLD UNION OF CATHOLIC WOMEN ORGANISATION,41.8890464,12.4691615
YOUNG EUROPEAN FEDERALISTS,50.8402369,4.370332299999999
YOUTH HUMAN RIGHTS MOVEMENT INTERNATIONAL,"",""
YOUTH OF THE EUROPEAN PEOPLE'S PARTY,50.8398288,4.367092899999999
ZONTA INTERNATIONAL,41.851413,-87.94962900000002
UNION TO PROMOTE CULTURE AND PROFESSIONAL ADVANCEMENT IN EUROPE,50.3390535,4.4550464
FEDERATION FOR EDUCATION IN EUROPE,46.202531,6.1544783
EUROPEAN ASSOCIATION FOR THE DEFENCE OF HUMAN RIGHTS,"",""
SOCIAL PLATFORM,50.83899479999999,4.3697963
INTERNATIONAL UNION OF ARCHITECTS,"",""
ASSOCATION OF SCHOOLS OF POLITICAL STUDIES OF THE COUNCIL OF EUROPE,"",""
INTERNATIONAL FALCON MOVEMENT - SOCIALIST EDUCATIONAL INTERNATIONAL,50.844561,4.378563
SOS CHILDREN'S VILLAGES INTERNATIONAL,47.2607079,11.446977
"YOUTH EXPRESS NETWORK ""FROM EXCLUSION TO INTEGRATION","",""
CHILDPACT - REGIONAL COALITION FOR CHILD PROTECTION,"",""
LIFELONG LEARNING PLATFORM,50.841755,4.369373
INTERNATIONAL MEDIA SUPPORT,"",""
GLOBAL ORGANIZATION OF PARLIAMENTARIANS AGAINST CORRUPTION,43.657857,-79.376254
MOROCCAN AND WORLD DEMOCRATIC ORGANIZATIONS FEDERATION,50.8587925,4.347595
EUROPEAN PRISON LITIGATION NETWORK,48.843411,2.3858095
EUROPEAN GRASSROOTS ANTIRACIST MOVEMENT,48.8718075,2.3539683
EUROPEAN EDUCATIONAL EXCHANGES – YOUTH FOR UNDERSTANDING,50.8664042,4.3817058
CENTER FOR MEDIA AND DEMOCRACY,43.0730517,-89.4012302
CENTER FOR THE DEVELOPMENT OF DEMOCRACY AND HUMAN RIGHTS,55.755826,37.6172999
AIESEC INTERNATIONAL FOUNDATION,51.923336,4.469152
ATHEIST ALLIANCE INTERNATIONAL,"",""
DATÜB: THE WORLD UNION OF AHISKA TURKS,40.9738049,28.7971777
EURODESK BRUSSELS LINK AISBL,50.8533176,4.3529313
THE EUROPEAN YOUNG BAR ASSOCIATION,"",""
EUROPEAN YOUTH CARD ASSOCIATION,50.8524391,4.3421687
EUROPEAN YOUTH INFORMATION AND COUNSELLING AGENCY,"",""
"""HOPE FOR CHILDREN"" CRC POLICY CENTRE","",""
IFEX (NETWORK OF FREE EXPRESSION ORGANISATIONS),43.6463832,-79.40242409999999
CENTER FOR REPRODUCTIVE RIGHTS,46.2081631,6.1458185
CIVIL RIGHTS DEFENDERS,59.33235649999999,18.0645449
EUROPEAN OBSERVATORY FOR NON DISCRIMINATION AND FUNDAMENTAL RIGHTS,"",""
EASTERN PARTNERSHIP CIVIL SOCIETY FORUM,"",""
INTERNATIONAL ASSOCIATION FOR PENAL LAW,48.8250572,2.3514982
RELIGIOUS IN EUROPE NETWORKING AGAINST TRAFFICKING AND EXPLOITATION,51.6923378,5.302709999999999
BONN INTERNATIONAL CENTER FOR CONVERSION,50.73743,7.0982068
BOOKSHARE,37.4418834,-122.1430195
BOTH ENDS,52.3675734,4.9041389
BREAD & ACTION,37.9838096,23.7275388
BREAKING GROUND,40.7127753,-74.0059728
CHILD RIGHTS INTERNATIONAL NETWORK,"",""
CANDLELIGHT SOMALIA,9.562389,44.0770134
EU-RUSSIA CIVIL SOCIETY FORUM,52.5528479,13.3785465
INSTITUTE FOR REPORTERS’ FREEDOM AND SAFETY,"",""
INTERNATIONAL NETWORK OF CIVIL LIBERTIES ORGANIZATIONS,46.2212131,6.1477895
INTERNATIONAL PARTNERSHIP FOR HUMAN RIGHTS,50.8503396,4.3517103
THALASSAEMIA INTERNATIONAL FEDERATION,35.1855659,33.38227639999999
VICTIM SUPPORT EUROPE,50.8503396,4.3517103
EUROPEAN BROADCASTING UNION,46.2317705,6.1260748
ECUMENICAL FORUM OF EUROPEAN CHRISTIAN WOMEN,48.1958628,16.3570796
EUROPEAN FORUM OF APPLIED CRIMINAL POLICY,51.2517644,6.761971699999999
EUROPEAN FEDERATION OF ARTISTS’ COLONIES,51.5634019,3.4983615
EURO-MEDITERRANEAN HUMAN RIGHTS NETWORK,55.6776571,12.5699335
GREENPEACE INTERNATIONAL,52.3503134,4.8328663
INTERNATIONAL ASSOCIATION OF THE EUROPEAN HERITAGE NETWORK,50.4576681,4.8727641
HOPE AND HOMES FOR CHILDREN,51.13535270000001,-1.9385782
INTERNATIONAL ASSOCIATION OF UNIVERSITIES,48.8455343,2.3063945
INTERNATIONAL COMMITTEE ON THE RIGHTS OF SEX WORKERS IN EUROPE,52.3638297,4.8770418
BALKAN CIVIL SOCIETY DEVELOPMENT NETWORK,41.9947601,21.4307469
BREAKING THE SILENCE,32.0852999,34.78176759999999
BREAKTHROUGH U.S.,40.7127753,-74.0059728
BROT FUR DIE WELT,"",""
BROTHER'S BROTHER,40.44062479999999,-79.9958864
BUDDHA'S LIGHT INTERNATIONAL ASSOCIATION,"",""
BUILD CHANGE,39.7392358,-104.990251
BWAISE FACILITY,"",""
CAFE MOMENTUM,32.7766642,-96.79698789999999
CAMBODIA MINES-REMOVE CAMPAIGN,33.5901838,130.4016888
CAMFED,37.7749295,-122.4194155
CAPACITY BUILDING FOR DISABILITY COOPERATION,11.5563738,104.9282099
CARBON WAR ROOM,"",""
CARE,"",""
CARITAS,"",""
CASA ALIANZA,"",""
CATAPULT,40.7127753,-74.0059728
CBGA,28.6139391,77.2090212
CBM,49.6861354,8.618729600000002
CCFD-TERRE SOLIDAIRE,"",""
CENTER FOR CIVIL LIBERTIES,"",""
CENTER FOR EFFECTIVE GLOBAL ACTION,37.8715226,-122.273042
STICHTING JUSTICE INITIATIVE,52.0941827,5.1143241
WORLD STUDENT CHRISTIAN FEDERATION - EUROPE,46.0603908,11.117241
1001 FONTAINES,45.79681,4.842426
350.ORG,40.6781784,-73.9441579
4CHILDREN,51.5073509,-0.1277583
A 21,33.6638439,-117.9047429
AARAMBH,19.0759837,72.8776559
ABC NEPAL,27.7172453,85.3239605
ACAT,48.856614,2.3522219
ACCESS NOW,40.7127753,-74.0059728
ACCION,42.3736158,-71.10973349999999
ACCION CIUDADANA,14.6349149,-90.5068824
ACT FOR PEACE,-33.8688197,151.2092955
ACTION AGAINST HUNGER,48.856614,2.3522219
ACTION AID,-26.2041028,28.0473051
ACTION FOR WOMEN,47.3768866,8.541694
ACUMEN,"",""
ADARSHMAY,19.0759837,72.8776559
ADESO,-1.2920659,36.8219462
ADRA INTERNATIONAL,38.99066570000001,-77.026088
ADVOCATES ABROAD,"",""
ADYAN FOUNDATION,"",""
AFGHAN INSTITUTE OF LEARNING,42.3222599,-83.17631449999999
AFRICAN FORUM AND NETWORK ON DEBT AND DEVELOPMENT,-17.8216288,31.0492259
AFRIKA GRUPPERNA,"",""
AGE INTERNATIONAL,51.5073509,-0.1277583
AJSA,20.9516658,85.0985236
AKANKSHA,19.0759837,72.8776559
AKILAH INSTITUTE,-1.9440727,30.0618851
AKSHAYA PATRA FOUNDATION,"",""
ALL HANDS VOLUNTEERS,41.6616323,-70.81507420000001
ALLIANCE FOR PEACEBUILDING,"",""
ALLIANCE SUD,"",""
AMERICA SOLIDARIA,"",""
AMERICAN REFUGEE COMMITTEE,44.977753,-93.2650108
AMERICARES,41.0534302,-73.5387341
AMIGOS INTERNATIONAL,29.7604267,-95.3698028
AMMAN IMMAN,38.99066570000001,-77.026088
AMNESTY INTERNATIONAL,51.5073509,-0.1277583
AMREF HEALTH AFRICA,-1.2920659,36.8219462
ANAR,"",""
ANESVAD,43.2630126,-2.9349852
ANTI-SLAVERY,51.5073509,-0.1277583
APOPO,"",""
AQUAYA,37.7749295,-122.4194155
ARAB NGO NETWORK FOR DEVELOPMENT,33.8937913,35.5017767
ARCHITECTES DE L'URGENCE,48.856614,2.3522219
